County Name,Population,Crimes,Deaths,Hospitals,School Districts,Median Household Income,Unemployed,State Parks,Weather and Climate Combined Risk Score,Calculated Quality-of-Life Index Score
Anderson,58064,651,735,1,7,60800,1312,0,76.80559975,121.03
Andrews,18334,312,153,1,1,68998,754,0,38.97550111,94.34
Angelina,87101,2219,1155,4,7,56825,2712,0,81.67356029,96.24
Aransas,24944,893,435,0,1,60523,767,1,84.50524976,48.44
Archer,8835,9,87,0,3,72062,208,0,21.38084633,134.04
Armstrong,1850,25,38,0,1,67548,39,0,10.65860643,105.21
Atascosa,50864,1142,572,1,5,59817,1843,0,65.92427617,89.06
Austin,31097,310,323,1,3,68630,897,1,63.60165447,113.35
Bailey,6779,38,70,1,1,52751,117,0,49.72955775,188.56
Bandera,22115,173,312,0,2,69284,574,3,51.70219535,94.24
Bastrop,106188,1882,824,2,4,73403,2557,2,78.58733694,93.14
Baylor,3466,18,69,1,1,49059,62,0,15.71746739,196.19
Bee,30394,933,321,1,5,48176,974,0,80.30544066,119.46
Bell,388386,7326,2818,7,10,62412,10099,0,92.65033408,93.64
Bexar,2059530,99771,16664,23,37,65839,71110,1,98.28189628,60.79
Blanco,12418,109,133,0,2,82236,251,2,41.42538976,109.02
Borden,585,9,6,0,1,75186,14,0,10.08590519,109.85
Bosque,18697,90,332,1,7,61048,454,1,36.78014636,153.72
Bowie,92035,1784,1228,6,13,52460,2864,0,81.86446071,118.4
Brazoria,388181,6549,2868,4,8,86197,15267,0,99.1091314,59.09
Brazos,242014,4035,1341,6,4,60355,6233,0,85.23703468,106.18
Brewster,9343,37,103,1,4,52388,272,1,66.68787782,176.78
Briscoe,1431,12,28,0,2,53208,27,1,20.23544384,146.6
Brooks,6906,22,117,0,1,35359,278,0,55.17021954,129.04
Brown,38373,758,671,2,7,53455,992,1,72.4785237,120.34
Burleson,18657,181,255,1,3,62095,519,1,24.91250398,132.11
Burnet,52502,635,591,2,2,74897,1119,2,80.14635698,110.77
Caldwell,47848,351,482,2,3,60833,1226,1,81.99172765,134.48
Calhoun,19706,315,252,1,1,62742,699,1,85.14158447,90.63
Callahan,14210,106,232,0,4,63836,325,0,27.74419345,117.04
Cameron,425208,9194,4220,8,9,49583,17219,1,98.47279669,97.18
Camp,12716,156,199,1,1,52919,369,0,55.36111995,130.51
Carson,5784,36,97,0,3,71902,122,0,60.61088132,115.55
Cass,28539,248,528,0,7,54276,970,1,56.09290487,106.48
Castro,7298,47,87,1,3,59958,120,0,39.07095132,180.65
Chambers,51288,1146,385,3,3,102146,1892,0,89.75501114,73.72
Cherokee,51645,974,684,3,6,50351,1679,0,62.32898505,124.32
Childress,6809,73,86,1,1,49200,114,0,84.40979955,173.33
Clay,10486,76,147,1,4,66085,265,1,37.48011454,150.3
Cochran,2526,37,37,1,2,45766,79,0,35.63474388,167.94
Coke,3333,155,62,0,2,43774,76,0,17.37193764,122.05
Coleman,7850,48,152,1,3,45834,213,0,26.66242444,181.91
Collin,1158696,14899,5692,22,16,113943,36006,0,99.26821508,77.03
Collingsworth,2568,3,48,1,1,52093,46,0,47.78873688,194.79
Colorado,20754,217,305,2,3,59711,538,0,69.48775056,135.68
Comal,184642,2815,1611,5,2,92979,4639,2,90.35952911,87.1
Comanche,13878,202,238,1,4,51559,309,0,59.24276169,151.64
Concho,3340,13,34,1,2,51191,59,0,6.58606427,214.62
Cooke,43050,621,485,2,8,66466,1369,0,83.67801464,105.5
Coryell,85057,1025,611,1,3,63428,1573,1,71.9376392,119.45
Cottle,1307,8,35,0,1,45351,28,0,10.94495705,162.31
Crane,4546,16,48,1,1,67889,221,0,1.177219217,146.61
Crockett,2943,24,61,0,1,71851,138,0,11.99490932,83.15
Crosby,4998,25,97,1,3,46457,124,0,40.85268851,192.72
Culberson,2155,15,36,1,1,52160,75,0,15.04931594,167.97
Dallam,7241,85,79,0,4,61636,105,0,46.00699968,130.52
Dallas,2600840,102437,19989,43,44,70871,103841,1,99.14094814,53.95
Dawson,12130,297,192,1,4,48801,398,0,39.45275215,131.59
