County Name,Population,Crimes,Deaths,Hospitals,School Districts,Median Household Income,Unemployed,State Parks,Weather and Climate Combined Risk Score
Anderson,58064,651,735,1,7,60800,1312,0,76.80559975
Andrews,18334,312,153,1,1,68998,754,0,38.97550111
Angelina,87101,2219,1155,4,7,56825,2712,0,81.67356029
Aransas,24944,893,435,0,1,60523,767,1,84.50524976
Archer,8835,9,87,0,3,72062,208,0,21.38084633
Armstrong,1850,25,38,0,1,67548,39,0,10.65860643
Atascosa,50864,1142,572,1,5,59817,1843,0,65.92427617
Austin,31097,310,323,1,3,68630,897,1,63.60165447
Bailey,6779,38,70,1,1,52751,117,0,49.72955775
Bandera,22115,173,312,0,2,69284,574,3,51.70219535
Bastrop,106188,1882,824,2,4,73403,2557,2,78.58733694
Baylor,3466,18,69,1,1,49059,62,0,15.71746739
Bee,30394,933,321,1,5,48176,974,0,80.30544066
Bell,388386,7326,2818,7,10,62412,10099,0,92.65033408
Bexar,2059530,99771,16664,23,37,65839,71110,1,98.28189628
Blanco,12418,109,133,0,2,82236,251,2,41.42538976
Borden,585,9,6,0,1,75186,14,0,10.08590519
Bosque,18697,90,332,1,7,61048,454,1,36.78014636
Bowie,92035,1784,1228,6,13,52460,2864,0,81.86446071
Brazoria,388181,6549,2868,4,8,86197,15267,0,99.1091314
Brazos,242014,4035,1341,6,4,60355,6233,0,85.23703468
Brewster,9343,37,103,1,4,52388,272,1,66.68787782
Briscoe,1431,12,28,0,2,53208,27,1,20.23544384
Brooks,6906,22,117,0,1,35359,278,0,55.17021954
Brown,38373,758,671,2,7,53455,992,1,72.4785237
Burleson,18657,181,255,1,3,62095,519,1,24.91250398
Burnet,52502,635,591,2,2,74897,1119,2,80.14635698
Caldwell,47848,351,482,2,3,60833,1226,1,81.99172765
Calhoun,19706,315,252,1,1,62742,699,1,85.14158447
Callahan,14210,106,232,0,4,63836,325,0,27.74419345
Cameron,425208,9194,4220,8,9,49583,17219,1,98.47279669
Camp,12716,156,199,1,1,52919,369,0,55.36111995
Carson,5784,36,97,0,3,71902,122,0,60.61088132
Cass,28539,248,528,0,7,54276,970,1,56.09290487
Castro,7298,47,87,1,3,59958,120,0,39.07095132
Chambers,51288,1146,385,3,3,102146,1892,0,89.75501114
Cherokee,51645,974,684,3,6,50351,1679,0,62.32898505
Childress,6809,73,86,1,1,49200,114,0,84.40979955
Clay,10486,76,147,1,4,66085,265,1,37.48011454
Cochran,2526,37,37,1,2,45766,79,0,35.63474388
Coke,3333,155,62,0,2,43774,76,0,17.37193764
Coleman,7850,48,152,1,3,45834,213,0,26.66242444
Collin,1158696,14899,5692,22,16,113943,36006,0,99.26821508
Collingsworth,2568,3,48,1,1,52093,46,0,47.78873688
Colorado,20754,217,305,2,3,59711,538,0,69.48775056
Comal,184642,2815,1611,5,2,92979,4639,2,90.35952911
Comanche,13878,202,238,1,4,51559,309,0,59.24276169
Concho,3340,13,34,1,2,51191,59,0,6.58606427
Cooke,43050,621,485,2,8,66466,1369,0,83.67801464
Coryell,85057,1025,611,1,3,63428,1573,1,71.9376392
Cottle,1307,8,35,0,1,45351,28,0,10.94495705
Crane,4546,16,48,1,1,67889,221,0,1.177219217
Crockett,2943,24,61,0,1,71851,138,0,11.99490932
Crosby,4998,25,97,1,3,46457,124,0,40.85268851
Culberson,2155,15,36,1,1,52160,75,0,15.04931594
Dallam,7241,85,79,0,4,61636,105,0,46.00699968
Dallas,2600840,102437,19989,43,44,70871,103841,1,99.14094814
Dawson,12130,297,192,1,4,48801,398,0,39.45275215
DeWitt,19772,252,304,1,5,55525,558,0,87.08240535
DeafSmith,18377,350,200,1,2,55565,310,0,65.44702514
Delta,5406,61,90,0,1,102711,133,1,11.2631244
Denton,977281,11314,4822,19,16,54587,32666,1,98.25007954
Dickens,1726,15,41,0,2,102711,42,0,16.73560293
Dimmit,8387,150,106,0,1,44312,413,0,31.53038498
Donley,3339,31,55,0,2,44866,63,0,27.29875915
Duval,9888,139,137,0,4,40539,589,0,20.29907731
Eastland,17944,198,279,1,5,53351,497,0,53.99300032
Ector,160869,3285,1623,3,3,64868,9116,0,84.85523385
Edwards,1422,25,34,0,2,50752,44,1,7.763283487
ElPaso,868763,13708,8393,17,16,53441,30094,2,94.33662106
Ellis,212182,2583,1668,3,11,89314,5641,0,76.71014954
Erath,43895,437,365,1,8,60093,1150,0,76.6783328
Falls,17049,166,199,1,4,47534,390,0,33.98027362
Fannin,37125,235,493,1,9,60959,788,1,72.70124085
Fayette,24913,302,378,1,5,70476,555,0,53.22939866
Fisher,3622,53,70,1,2,57867,72,0,9.354120267
Floyd,5235,79,109,1,2,45784,155,0,82.02354438
Foard,1057,0,31,0,1,47657,24,0,3.849825008
FortBend,889146,11933,4545,11,6,105583,30538,1,99.07731467
Franklin,10618,179,159,0,1,56623,257,0,39.80273624
Freestone,19950,414,281,1,4,56372,528,0,37.73464843
Frio,17815,163,190,1,2,46769,541,0,41.96627426
Gaines,22181,161,167,1,3,62465,543,0,74.7056952
Galveston,357117,7588,3338,4,12,75947,14390,1,99.52274897
Garza,6262,45,67,0,2,50255,137,0,38.59370029
Gillespie,27477,178,389,1,3,77013,635,1,58.03372574
Glasscock,1164,42,10,0,1,96533,29,0,12.5994273
Goliad,7131,102,75,0,1,62841,244,2,50.33407572
Gonzales,19832,388,258,1,3,57523,515,1,88.00509068
Gray,21015,490,294,1,4,50648,633,0,67.38784601
Grayson,143131,2026,1787,7,13,66141,3761,2,83.48711422
Gregg,125443,3523,1630,4,8,60932,4682,0,88.64142539
Grimes,30754,513,355,1,4,61188,891,0,68.24689787
Guadalupe,182760,1924,1377,1,4,86043,4933,1,90.20044543
Hale,31827,505,454,2,5,49571,799,0,76.77378301
Hall,2810,18,53,0,1,40677,62,1,38.91186764
